0,1,2,211
0,2,8,449
0,3,3,225
0,5,8,242
0,6,5,148
0,7,5,235
0,9,4,193
0,10,2,156
0,11,15,179
0,13,6,241
0,15,1,96
0,16,1,94
0,19,3,120
0,20,3,191
0,21,2,154
0,22,4,189
0,24,6,187
0,25,2,92
0,26,2,82
0,27,2,303
0,28,2,69
0,29,7,141
0,30,4,167
0,34,2,151
0,35,1,133
0,38,2,70
0,39,1,50
0,40,5,147
0,41,6,255
0,42,4,162
0,43,1,134
0,44,1,104
0,45,2,75
0,46,2,90
0,47,5,123
0,48,1,90
0,49,5,138
0,50,1,114
0,51,3,83
0,52,1,137
0,54,3,116
0,55,2,111
0,56,3,137
0,58,2,83
0,59,2,84
0,60,4,75
0,62,2,106
0,65,6,183
0,66,8,148
0,68,2,73
0,71,1,27
0,72,1,93
0,73,3,135
0,74,1,34
0,75,1,75
0,76,12,121
0,77,1,68
0,78,4,87
0,80,1,134
0,84,3,109
0,87,3,86
0,90,1,17
0,92,1,89
0,93,1,74
0,95,8,171
0,96,2,80
0,97,1,52
0,99,1,17
0,102,1,111
0,104,1,53
0,108,2,97
0,110,1,68
0,111,1,119
0,115,1,54
0,120,2,86
0,121,15,163
0,122,1,74
0,124,1,38
0,125,1,77
0,127,1,74
0,128,1,70
0,131,1,41
0,134,1,60
0,137,2,72
0,141,2,51
0,143,1,62
0,144,1,46
0,146,1,55
0,150,5,128
0,155,1,115
0,162,3,127
0,177,1,69
0,191,4,96
0,197,1,38
0,200,2,66
0,201,1,49
0,203,1,34
0,204,3,88
0,205,2,154
0,207,1,88
0,209,1,93
0,210,1,87
0,213,1,32
0,217,1,52
0,222,6,81
0,223,1,37
0,227,3,23
0,231,2,37
0,233,1,43
0,239,3,39
0,240,1,62
0,243,3,65
0,260,2,53
0,265,4,91
0,271,1,97
0,272,1,85
0,274,1,41
0,276,1,23
0,280,1,47
0,283,1,21
0,285,1,35
0,287,1,22
0,293,1,25
0,304,4,73
0,306,3,130
0,307,2,29
0,314,1,33
0,323,1,101
0,326,1,97
0,335,1,20
0,338,3,57
0,342,1,33
0,345,1,149
0,347,1,56
0,350,1,38
0,353,3,60
0,354,1,110
0,355,1,47
0,357,1,28
0,358,1,36
0,362,1,51
0,365,1,32
0,368,1,28
0,370,1,52
0,371,3,104
0,387,1,55
0,389,1,14
0,391,1,24
0,392,2,36
0,394,1,18
0,398,2,12
0,400,1,33
0,403,1,22
0,408,2,22
0,409,1,24
0,412,1,24
0,414,1,30
0,415,1,31
0,416,2,17
0,417,1,29
0,419,2,38
0,422,1,12
0,426,2,65
0,427,1,45
0,433,1,19
0,435,2,33
0,436,3,60
0,439,4,114
0,443,1,91
0,447,1,42
0,449,2,56
0,450,2,55
0,452,1,37
0,455,1,27
0,459,1,32
0,463,2,26
0,466,1,37
0,468,3,32
0,481,1,21
0,488,1,30
0,493,1,34
0,494,2,43
0,496,1,24
0,503,1,32
0,507,1,71
0,510,2,31
0,515,1,10
0,518,2,34
0,519,1,38
0,532,1,8
0,542,6,74
0,545,1,10
0,549,3,44
0,551,1,12
0,557,1,52
0,559,2,87
0,567,1,33
0,570,1,10
0,573,1,38
0,578,1,17
0,580,1,64
0,581,1,25
0,582,1,13
0,584,1,11
0,588,1,39
0,593,1,15
0,602,1,16
0,607,2,34
0,609,1,37
0,613,1,11
0,617,2,55
0,619,2,21
0,620,1,25
0,635,1,58
0,636,1,31
0,637,1,25
0,643,2,16
0,650,2,20
0,656,1,68
0,658,1,29
0,661,5,49
0,662,1,22
0,665,1,23
0,666,1,22
0,674,1,42
0,689,1,16
0,690,1,34
0,691,1,20
0,693,1,17
0,694,2,23
0,695,1,56
0,699,1,39
0,701,1,18
0,713,1,15
0,717,1,25
0,718,1,37
0,730,1,57
0,732,1,25
0,737,1,14
0,741,1,29
0,754,1,17
0,755,2,6
0,773,1,22
0,779,1,27
0,780,2,20
0,790,2,12
0,793,1,19
0,796,1,24
0,803,4,87
0,804,1,34
0,823,5,53
0,829,2,11
0,831,1,44
0,836,2,15
0,844,3,43
0,848,1,13
0,852,1,33
0,861,5,55
0,862,12,108
0,866,1,16
